text,intent,group,split
Help me write a eulogy for my grandfather,writing,writing-046,train
Please what is the GDP of Japan please,search,search-044,train
"Hey, what is the latest version of Python please",search,search-052,train
Why is the Monty Hall answer counterintuitive to most people asap,reasoning,reasoning-056,train
"Two fathers and two sons go fishing and catch three fish, one each, how",reasoning,reasoning-037,train
I need help: write a blog post titled ten lessons from my first startup,writing,writing-005,test
Can you write a SQL query to get the top 5 customers by total order value please,coding,coding-079,train
What is the total on this restaurant bill image,multimodal,multimodal-002,test
"Hey, fix the indentation error in this code block",coding,coding-031,train
Explain the logic behind the birthday paradox,reasoning,reasoning-008,test
"Hey, if I invest 10000 at 8 percent compounded annually, how much after 5 years?",reasoning,reasoning-047,train
Quick one: has the new Tamil Nadu EV policy been announced yet,search,search-070,train
"I need help: a snail climbs 3 metres a day and slips 2 at night, how long to climb a 10 metre wall",reasoning,reasoning-018,train
Could you look at this outfit photo and rate it out of ten,multimodal,multimodal-020,train
Draft a toast for my parents' anniversary dinner,writing,writing-036,train
I need help: write a limerick about a cat who codes asap,writing,writing-048,train
Find recent papers on retrieval-augmented generation?,search,search-061,train
I need help: what is the time complexity of this recursive function thanks,coding,coding-021,train
Can you what is the price of gold today in Hyderabad?,search,search-051,train
I need help: draft a resignation letter that keeps things friendly.,writing,writing-078,train
"Hey, what is the sum of the interior angles of a hexagon and why please",reasoning,reasoning-087,train
I need help: what does the 'static' keyword do in C++,coding,coding-016,test
Explain why 0.999 repeating equals 1 asap,reasoning,reasoning-046,train
Can you how to use useState with an array of objects.,coding,coding-026,train
Could you describe the outfit in this photo and suggest matching shoes please,multimodal,multimodal-065,train
Can you how many times do the hands of a clock overlap in 24 hours?,reasoning,reasoning-067,train
Is the person in this image wearing a helmet?,multimodal,multimodal-051,train
Draft an agenda and opening remarks for our annual meeting?,writing,writing-014,test
Please write a story in second person about waking up on Mars.,writing,writing-070,train
Please make this paragraph more concise without losing meaning,writing,writing-041,train
I need help: read the text in this scanned receipt and total it asap,multimodal,multimodal-059,train
Write a scene where two old friends meet after ten years,writing,writing-064,train
Quick one: what is wrong with the plant in this photo,multimodal,multimodal-015,test
Think about whether a company should open source its core product,reasoning,reasoning-063,train
Can you explain Occam's razor with an example,reasoning,reasoning-038,train
"Hey, read the ingredients list from this photo of the packet?",multimodal,multimodal-048,train
"If 3 workers build a wall in 6 days, how long do 9 workers take",reasoning,reasoning-073,train
Can you what is the difference between a process and a thread in an OS asap,coding,coding-054,train
How would you settle a dispute between two co-founders about equity,reasoning,reasoning-049,train
What does the label on this medicine bottle photo say?,multimodal,multimodal-062,train
Please reason out whether a ball thrown upward has zero acceleration at the top,reasoning,reasoning-043,train
"Hey, how tall is Mount Kilimanjaro asap",search,search-014,test
Could you when was the Taj Mahal completed please,search,search-033,train
"Two dice are rolled, what is the probability the sum is 7",reasoning,reasoning-034,train
I need help: what time zone is Dubai in,search,search-020,train
"Quick one: fix my CSS, the navbar overlaps the content on mobile.",coding,coding-062,train
Please when does the IPL 2027 season start,search,search-079,train
Explain Occam's razor with an example asap,reasoning,reasoning-038,train
Could you write a SQL query to get the top 5 customers by total order value?,coding,coding-079,train
I need help: what is the current repo rate set by the RBI,search,search-071,train
Write a description for a YouTube video about budget travel thanks,writing,writing-068,train
Write a shell one-liner to count lines in all Python files,coding,coding-050,train
Write a regex that matches Indian phone numbers,coding,coding-018,train
Quick one: where is the 2028 Olympics being held thanks,search,search-049,train
Write an Instagram caption for my graduation photo,writing,writing-057,train
Explain Occam's razor with an example,reasoning,reasoning-038,train
"Please my Streamlit app reruns the whole script on every click, how to cache please",coding,coding-041,train
Quick one: find the typo in this screenshot of my slide,multimodal,multimodal-087,train
I need help: if you have a 3 litre and a 5 litre jug how do you measure exactly 4 litres.,reasoning,reasoning-064,train
Quick one: my React state update is not re-rendering the component please,coding,coding-039,train
Who is the richest person in the world right now,search,search-081,train
Quick one: write a cover letter for a marketing role at a fashion brand?,writing,writing-087,train
What is the national animal of Australia.,search,search-001,test
What font is used in this image.,multimodal,multimodal-001,test
"Can you should I take the job with higher pay or the one with better learning, think it through please",reasoning,reasoning-075,train
What is the time complexity of this recursive function,coding,coding-021,train
"Hey, what is the average temperature in Delhi in May thanks",search,search-025,train
Can you rewrite this essay introduction to be more engaging,writing,writing-082,train
Could you draft an apology email for missing the client meeting,writing,writing-040,train
How many times do the hands of a clock overlap in 24 hours,reasoning,reasoning-067,train
Could you what is written on the t-shirt in this picture asap,multimodal,multimodal-049,train
Create a REST endpoint that returns JSON in FastAPI.,coding,coding-055,train
